Gebietsartschlüssel;Gebietsnummer;Stimmbezirksart;Wahlberechtigte gesamt;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler gesamt;Wähler mit Wahlschein;Ungültige Stimmen;Anzahl CSU;Anteil CSU;Anzahl SPD;Anteil SPD;Anzahl GRÜNE;Anteil GRÜNE;Anzahl FDP;Anteil FDP;Anzahl AfD;Anteil AfD;Anzahl DIE LINKE;Anteil DIE LINKE;Anzahl FREIE WÄHLER;Anteil FREIE WÄHLER;Anzahl PIRATEN;Anteil PIRATEN;Anzahl ÖDP;Anteil ÖDP;Anzahl BP;Anteil BP;Anzahl NPD;Anteil NPD;Anzahl Tierschutzpartei;Anteil Tierschutzpartei;Anzahl MLPD;Anteil MLPD;Anzahl BüSo;Anteil BüSo;Anzahl BGE;Anteil BGE;Anzahl DiB;Anteil DiB;Anzahl DKP;Anteil DKP;Anzahl DM;Anteil DM;Anzahl Die PARTEI;Anteil Die PARTEI;Anzahl Gesundheitsforschung;Anteil Gesundheitsforschung;Anzahl V-Partei³;Anteil V-Partei³
BTST;1001;11;1534;877;657;0;586;6;1;152;25,98291 %;55;9,40171 %;120;20,51282 %;138;23,58974 %;43;7,35043 %;53;9,05983 %;6;1,02564 %;4;0,68376 %;4;0,68376 %;0;0,00000 %;0;0,00000 %;4;0,68376 %;0;0,00000 %;0;0,00000 %;1;0,17094 %;1;0,17094 %;0;0,00000 %;0;0,00000 %;2;0,34188 %;1;0,17094 %;1;0,17094 %
BTST;1002;11;1496;805;691;0;582;15;1;145;24,95697 %;85;14,62995 %;141;24,26850 %;110;18,93287 %;28;4,81928 %;49;8,43373 %;1;0,17212 %;1;0,17212 %;2;0,34423 %;0;0,00000 %;0;0,00000 %;5;0,86059 %;0;0,00000 %;0;0,00000 %;1;0,17212 %;7;1,20482 %;0;0,00000 %;2;0,34423 %;3;0,51635 %;0;0,00000 %;1;0,17212 %
BTST;1003;11;1505;900;605;0;674;15;0;185;27,44807 %;91;13,50148 %;122;18,10089 %;157;23,29377 %;40;5,93472 %;54;8,01187 %;3;0,44510 %;0;0,00000 %;7;1,03858 %;3;0,44510 %;0;0,00000 %;2;0,29674 %;0;0,00000 %;0;0,00000 %;0;0,00000 %;3;0,44510 %;0;0,00000 %;1;0,14837 %;5;0,74184 %;1;0,14837 %;0;0,00000 %
BTST;1004;11;1456;847;609;0;586;11;1;138;23,58974 %;78;13,33333 %;137;23,41880 %;89;15,21368 %;39;6,66667 %;66;11,28205 %;4;0,68376 %;0;0,00000 %;5;0,85470 %;1;0,17094 %;2;0,34188 %;8;1,36752 %;0;0,00000 %;0;0,00000 %;6;1,02564 %;3;0,51282 %;0;0,00000 %;0;0,00000 %;8;1,36752 %;0;0,00000 %;1;0,17094 %
BTST;1005;11;1513;863;650;0;591;13;0;185;31,30288 %;76;12,85956 %;112;18,95093 %;113;19,12014 %;50;8,46024 %;44;7,44501 %;1;0,16920 %;2;0,33841 %;2;0,33841 %;0;0,00000 %;1;0,16920 %;0;0,00000 %;0;0,00000 %;0;0,00000 %;0;0,00000 %;0;0,00000 %;0;0,00000 %;0;0,00000 %;2;0,33841 %;1;0,16920 %;2;0,33841 %
BTST;1006;11;1512;899;613;0;641;11;3;179;28,05643 %;99;15,51724 %;129;20,21944 %;129;20,21944 %;35;5,48589 %;50;7,83699 %;0;0,00000 %;2;0,31348 %;5;0,78370 %;0;0,00000 %;0;0,00000 %;4;0,62696 %;0;0,00000 %;0;0,00000 %;2;0,31348 %;1;0,15674 %;0;0,00000 %;0;0,00000 %;2;0,31348 %;0;0,00000 %;1;0,15674 %
BTST;1007;11;1519;855;664;0;676;16;3;160;23,77415 %;113;16,79049 %;138;20,50520 %;145;21,54532 %;24;3,56612 %;66;9,80684 %;3;0,44577 %;1;0,14859 %;3;0,44577 %;1;0,14859 %;2;0,29718 %;4;0,59435 %;1;0,14859 %;1;0,14859 %;2;0,29718 %;0;0,00000 %;1;0,14859 %;2;0,29718 %;4;0,59435 %;1;0,14859 %;1;0,14859 %
BTST;1008;11;1606;915;691;0;683;14;2;205;30,10279 %;108;15,85903 %;128;18,79589 %;127;18,64905 %;42;6,16740 %;49;7,19530 %;4;0,58737 %;0;0,00000 %;6;0,88106 %;0;0,00000 %;0;0,00000 %;5;0,73421 %;1;0,14684 %;0;0,00000 %;1;0,14684 %;1;0,14684 %;0;0,00000 %;0;0,00000 %;4;0,58737 %;0;0,00000 %;0;0,00000 %
BTST;1009;11;1473;870;603;0;662;9;1;195;29,50076 %;95;14,37216 %;150;22,69289 %;113;17,09531 %;37;5,59758 %;51;7,71558 %;2;0,30257 %;3;0,45386 %;2;0,30257 %;1;0,15129 %;0;0,00000 %;7;1,05900 %;0;0,00000 %;0;0,00000 %;1;0,15129 %;0;0,00000 %;0;0,00000 %;0;0,00000 %;2;0,30257 %;0;0,00000 %;2;0,30257 %
BTST;2001;11;1544;913;631;0;536;12;0;111;20,70896 %;75;13,99254 %;102;19,02985 %;92;17,16418 %;43;8,02239 %;74;13,80597 %;4;0,74627 %;6;1,11940 %;3;0,55970 %;1;0,18657 %;0;0,00000 %;5;0,93284 %;0;0,00000 %;0;0,00000 %;2;0,37313 %;2;0,37313 %;1;0,18657 %;1;0,18657 %;13;2,42537 %;0;0,00000 %;1;0,18657 %
