Gebietsnummer,CSU,SPD,GRÜNE,FDP,AfD,DIE LINKE
3001,22.77691,17.16069,25.58502,13.88456,5.14821,11.38846
3002,24.81962,16.30592,24.09812,17.46032,4.1847,9.52381
3003,22.77526,13.87632,20.96531,20.21116,7.08899,10.25641
3004,19.39394,15.0,25.90909,16.51515,6.21212,12.42424
3005,23.4472,17.54658,21.27329,15.83851,4.96894,11.80124
3006,21.55309,14.26307,25.99049,18.38352,4.91284,10.61807
3007,20.83981,16.01866,23.48367,17.41835,5.44323,13.37481
3008,20.82019,16.56151,24.13249,20.82019,3.78549,10.88328
3009,24.72952,15.76507,20.55641,19.31994,4.48223,10.97372
3010,25.95109,15.89674,22.01087,17.66304,4.61957,9.78261
3011,22.84866,14.98516,24.62908,18.69436,6.23145,9.34718
3012,30.81664,12.01849,21.57165,20.64715,4.93066,6.31741
3013,25.73402,13.98964,21.58895,18.82556,5.87219,10.01727
3014,24.15541,16.89189,20.43919,18.91892,6.58784,8.10811
3015,24.65753,14.55479,20.54795,19.00685,7.02055,7.87671
3016,20.44199,15.10129,27.99263,14.91713,6.814,9.94475
3017,22.56569,17.46522,22.10201,16.84699,6.64606,9.58269
3018,24.21384,11.47799,22.32704,17.61006,7.7044,11.94969
3019,27.35192,13.0662,21.25436,15.33101,7.49129,9.7561
3020,20.41116,16.88693,24.08223,15.27166,6.46109,12.92217
3021,26.42948,16.39136,19.94917,13.85006,6.98856,11.30877
3022,25.41254,15.0165,18.81188,18.15182,4.29043,11.88119
3023,28.37274,15.99444,16.2726,18.49791,7.51043,7.51043
4001,27.40385,16.02564,16.82692,14.90385,7.69231,9.77564
4002,25.12479,16.63894,17.63727,12.4792,9.48419,11.64725
4003,24.95922,17.12887,21.04405,11.74551,8.15661,10.60359
4004,23.31288,20.70552,16.10429,11.50307,10.7362,12.42331
4005,32.88288,15.61562,15.16517,17.71772,8.70871,6.75676
4006,27.73109,18.31933,16.13445,16.47059,8.23529,10.08403
4007,24.92355,16.51376,18.80734,16.36086,8.25688,11.46789
4008,26.92308,17.78846,20.99359,12.01923,8.65385,8.97436
