,Gebietsnummer,Anzahl Einwohner,Anteil Deutsche,Anteil EU-Ausländer,Anteil Nicht EU-Ausländer,Anteil Migrationshintergrund,Anteil Ledige,Anteil Verheiratete,Anteil Deutsche W,Anteil EU-Ausländer W,Anteil 18-24-Jährige,Anteil 25-34-Jährige,Anteil 35-44-Jährige,Anteil 45-59-Jährige,Anteil 60-Jährige und Ältere,Anteil Einpersonenhaushalten,Anteil Haushalte mit Kindern,Wohndauer in München,SV-Beschäftigtendichte,Arbeitslosendichte,Erwerbsfähige Leistungsberechtigtendichte
30,3001,2018,82.6,10.9,6.6,29.5,60.6,27.4,87.6,12.4,6.2,32.9,18.7,19.3,22.8,67.7,10.7,18.9,64.3,2.1,2.1
31,3002,2065,85.1,9.8,5.0,28.0,59.1,31.0,88.3,11.7,7.1,27.4,19.4,22.9,23.3,63.8,13.0,19.2,64.3,2.1,2.1
32,3003,2062,75.5,14.4,10.1,36.4,68.3,23.7,83.2,16.8,8.8,40.0,19.7,16.1,15.4,70.6,9.1,14.3,64.3,2.1,2.1
33,3004,2159,77.9,12.7,9.4,33.8,68.2,24.0,85.7,14.3,8.1,39.3,18.3,17.7,16.5,70.8,8.9,15.6,64.3,2.1,2.1
34,3005,2067,76.9,12.6,10.5,34.1,64.1,26.9,85.1,14.9,11.0,33.3,16.4,19.3,20.0,66.9,8.9,17.0,64.3,2.1,2.1
35,3006,2197,74.7,16.1,9.2,37.9,68.1,21.3,81.6,18.4,13.9,36.1,17.8,13.1,19.1,74.7,7.5,15.0,64.3,2.1,2.1
36,3007,2036,83.2,11.2,5.6,28.9,58.4,31.1,87.3,12.7,6.7,27.2,18.3,21.7,26.2,63.9,12.3,20.0,64.3,2.1,2.1
37,3008,2043,80.5,12.2,7.3,31.9,65.8,25.5,85.6,14.4,9.2,33.9,17.7,19.7,19.6,71.2,10.5,16.3,64.3,2.1,2.1
38,3009,2067,82.0,11.8,6.2,31.1,63.0,25.7,86.7,13.3,8.8,32.5,16.0,21.1,21.6,71.4,9.6,18.0,64.3,2.1,2.1
39,3010,2200,73.1,16.2,10.6,37.2,65.4,26.1,81.3,18.7,11.6,34.5,15.9,19.9,18.1,70.9,9.7,15.3,64.3,2.1,2.1
40,3011,2187,78.6,13.1,8.3,32.6,64.1,26.7,84.5,15.5,12.1,29.8,17.5,18.7,22.0,68.2,10.5,16.1,64.3,2.1,2.1
41,3012,2169,78.4,12.7,8.9,34.8,65.2,26.6,85.0,15.0,15.4,26.9,15.8,20.0,22.0,64.6,13.6,14.7,64.3,2.1,2.1
42,3013,2142,70.4,14.4,15.2,43.3,67.6,22.5,82.0,18.0,13.1,32.2,16.8,18.3,19.4,69.6,9.8,15.5,64.3,2.1,2.1
43,3014,2089,79.0,12.1,9.0,32.3,68.0,23.6,86.5,13.5,10.2,35.5,18.7,19.4,16.2,70.6,8.1,14.2,64.3,2.1,2.1
44,3015,2477,65.4,17.0,17.6,49.1,60.3,27.9,78.7,21.3,11.3,27.6,15.4,22.6,23.1,68.8,9.7,15.5,64.3,2.1,2.1
