"Name";"Karte 1";"Karte 2"
03001;84.1;"Mittelbereich 23,63 - 40,98%"
03002;88.3;"Mittelbereich 23,63 - 40,98%"
03003;87.3;"Mittelbereich 23,63 - 40,98%"
03004;85.9;"Mittelbereich 23,63 - 40,98%"
03005;86.8;"Mittelbereich 23,63 - 40,98%"
03006;82.2;"Mittelbereich 23,63 - 40,98%"
03007;86.4;"Mittelbereich 23,63 - 40,98%"
03008;83.8;"Mittelbereich 23,63 - 40,98%"
03009;86.4;"Mittelbereich 23,63 - 40,98%"
03010;85.1;"Mittelbereich 23,63 - 40,98%"
03011;83.7;"Mittelbereich 23,63 - 40,98%"
03012;87.8;"Mittelbereich 23,63 - 40,98%"
03013;80.6;"Mittelbereich 23,63 - 40,98%"
03014;84.7;"Mittelbereich 23,63 - 40,98%"
03015;81.4;"Mittelbereich 23,63 - 40,98%"
03016;82.3;"Kellerbezirk 14,51 - 23,62%"
03017;85.2;"Mittelbereich 23,63 - 40,98%"
03018;83.2;"Mittelbereich 23,63 - 40,98%"
03019;81.1;"Mittelbereich 23,63 - 40,98%"
03020;85.9;"Kellerbezirk 14,51 - 23,62%"
03021;84.6;"Mittelbereich 23,63 - 40,98%"
03022;81.2;"Mittelbereich 23,63 - 40,98%"
03023;80.4;"Mittelbereich 23,63 - 40,98%"
04001;80.6;"Mittelbereich 23,63 - 40,98%"
04002;79.5;"Mittelbereich 23,63 - 40,98%"
04003;82;"Mittelbereich 23,63 - 40,98%"
04004;77.8;"Mittelbereich 23,63 - 40,98%"
04005;72.9;"Mittelbereich 23,63 - 40,98%"
04006;77.4;"Mittelbereich 23,63 - 40,98%"
04007;86.8;"Mittelbereich 23,63 - 40,98%"
04008;81.7;"Mittelbereich 23,63 - 40,98%"
04009;85.7;"Mittelbereich 23,63 - 40,98%"
04010;87.9;"Mittelbereich 23,63 - 40,98%"
04011;83.8;"Kellerbezirk 14,51 - 23,62%"
04012;86.1;"Mittelbereich 23,63 - 40,98%"
04013;77.7;"Mittelbereich 23,63 - 40,98%"
04014;79.3;"Mittelbereich 23,63 - 40,98%"
04015;82.7;"Mittelbereich 23,63 - 40,98%"
04016;86.1;"Kellerbezirk 14,51 - 23,62%"
04017;85.4;"Mittelbereich 23,63 - 40,98%"
04018;85.5;"Kellerbezirk 14,51 - 23,62%"
04019;83.9;"Mittelbereich 23,63 - 40,98%"
04020;85.6;"Mittelbereich 23,63 - 40,98%"
04021;87.6;"Mittelbereich 23,63 - 40,98%"
04022;85.4;"Mittelbereich 23,63 - 40,98%"
04023;84.9;"Mittelbereich 23,63 - 40,98%"
04024;87.4;"Mittelbereich 23,63 - 40,98%"
04025;86.9;"Mittelbereich 23,63 - 40,98%"
04026;86.2;"Mittelbereich 23,63 - 40,98%"
04027;86.5;"Mittelbereich 23,63 - 40,98%"
04028;86.2;"Mittelbereich 23,63 - 40,98%"
04029;85.1;"Mittelbereich 23,63 - 40,98%"
04030;85.1;"Kellerbezirk 14,51 - 23,62%"
10001;79.1;"Mittelbereich 23,63 - 40,98%"
10002;81.5;"Mittelbereich 23,63 - 40,98%"
10003;85.6;"Mittelbereich 23,63 - 40,98%"
10004;73.6;"Mittelbereich 23,63 - 40,98%"
10005;75.5;"Mittelbereich 23,63 - 40,98%"
10006;67.8;"Mittelbereich 23,63 - 40,98%"
10007;77.6;"Mittelbereich 23,63 - 40,98%"
10008;74.5;"Mittelbereich 23,63 - 40,98%"
10009;79;"Mittelbereich 23,63 - 40,98%"
10010;81.6;"Mittelbereich 23,63 - 40,98%"
10011;79.6;"Mittelbereich 23,63 - 40,98%"
10012;80.8;"Mittelbereich 23,63 - 40,98%"
10013;82.9;"Mittelbereich 23,63 - 40,98%"
10014;78.4;"Mittelbereich 23,63 - 40,98%"
10015;68.5;"Mittelbereich 23,63 - 40,98%"
10016;75.6;"Mittelbereich 23,63 - 40,98%"
10017;78.3;"Mittelbereich 23,63 - 40,98%"
10018;71.6;"Mittelbereich 23,63 - 40,98%"
10019;73.9;"Mittelbereich 23,63 - 40,98%"
10020;83.4;"Kellerbezirk 14,51 - 23,62%"
10021;57.7;"Mittelbereich 23,63 - 40,98%"
11001;67.1;"Mittelbereich 23,63 - 40,98%"
11002;64.3;"Mittelbereich 23,63 - 40,98%"
11003;53.6;"Mittelbereich 23,63 - 40,98%"
11004;65.7;"Mittelbereich 23,63 - 40,98%"
11005;64.3;"Mittelbereich 23,63 - 40,98%"
11006;56.1;"Mittelbereich 23,63 - 40,98%"
11007;71.8;"Mittelbereich 23,63 - 40,98%"
11008;69.7;"Mittelbereich 23,63 - 40,98%"
11009;62.7;"Mittelbereich 23,63 - 40,98%"
11010;65.6;"Mittelbereich 23,63 - 40,98%"
11011;74.2;"Mittelbereich 23,63 - 40,98%"
11012;67.7;"Mittelbereich 23,63 - 40,98%"
11013;74.4;"Mittelbereich 23,63 - 40,98%"
11014;82.4;"Mittelbereich 23,63 - 40,98%"
11015;76.3;"Mittelbereich 23,63 - 40,98%"
11016;72.2;"Mittelbereich 23,63 - 40,98%"
11017;75.9;"Mittelbereich 23,63 - 40,98%"
11018;70.4;"Mittelbereich 23,63 - 40,98%"
11019;73.5;"Mittelbereich 23,63 - 40,98%"
11020;73.1;"Mittelbereich 23,63 - 40,98%"
11021;67.3;"Mittelbereich 23,63 - 40,98%"
11022;68.9;"Mittelbereich 23,63 - 40,98%"
11023;85.5;"Mittelbereich 23,63 - 40,98%"
11024;79.3;"Mittelbereich 23,63 - 40,98%"
11025;85.3;"Kellerbezirk 14,51 - 23,62%"
12001;75.3;"Mittelbereich 23,63 - 40,98%"
12002;80.8;"Mittelbereich 23,63 - 40,98%"
12003;63.7;"Mittelbereich 23,63 - 40,98%"
12004;74.4;"Mittelbereich 23,63 - 40,98%"
12005;81.8;"Mittelbereich 23,63 - 40,98%"
12006;63.4;"Mittelbereich 23,63 - 40,98%"
12007;78.6;"Mittelbereich 23,63 - 40,98%"
12008;84.5;"Mittelbereich 23,63 - 40,98%"
12009;79.5;"Mittelbereich 23,63 - 40,98%"
12010;68.6;"Mittelbereich 23,63 - 40,98%"
12011;84.3;"Mittelbereich 23,63 - 40,98%"
12012;73.7;"Mittelbereich 23,63 - 40,98%"
12013;78.2;"Mittelbereich 23,63 - 40,98%"
12014;81.4;"Kellerbezirk 14,51 - 23,62%"
12015;79.7;"Mittelbereich 23,63 - 40,98%"
12016;77.4;"Mittelbereich 23,63 - 40,98%"
12017;87.3;"Mittelbereich 23,63 - 40,98%"
12018;82.8;"Mittelbereich 23,63 - 40,98%"
12019;84.4;"Mittelbereich 23,63 - 40,98%"
12020;86;"Mittelbereich 23,63 - 40,98%"
12021;86.3;"Mittelbereich 23,63 - 40,98%"
12022;83.2;"Mittelbereich 23,63 - 40,98%"
12023;84.8;"Mittelbereich 23,63 - 40,98%"
12024;86.9;"Mittelbereich 23,63 - 40,98%"
12025;87.4;"Mittelbereich 23,63 - 40,98%"
12026;83.2;"Mittelbereich 23,63 - 40,98%"
12027;84;"Mittelbereich 23,63 - 40,98%"
12028;85.8;"Mittelbereich 23,63 - 40,98%"
12029;84.8;"Mittelbereich 23,63 - 40,98%"
12030;79.4;"Mittelbereich 23,63 - 40,98%"
12031;78.6;"Mittelbereich 23,63 - 40,98%"
24001;65.6;"Mittelbereich 23,63 - 40,98%"
24002;78.9;"Hochburg 40,99 - 53,84%"
24003;84;"Hochburg 40,99 - 53,84%"
24004;80.1;"Mittelbereich 23,63 - 40,98%"
24005;87.8;"Mittelbereich 23,63 - 40,98%"
24006;87;"Mittelbereich 23,63 - 40,98%"
24007;77.2;"Mittelbereich 23,63 - 40,98%"
24008;71.8;"Mittelbereich 23,63 - 40,98%"
24009;71.5;"Mittelbereich 23,63 - 40,98%"
24010;66.6;"Mittelbereich 23,63 - 40,98%"
24011;54.5;"Mittelbereich 23,63 - 40,98%"
24012;45.4;"Mittelbereich 23,63 - 40,98%"
24013;53.7;"Mittelbereich 23,63 - 40,98%"
24014;60.3;"Mittelbereich 23,63 - 40,98%"
24015;69.4;"Mittelbereich 23,63 - 40,98%"
