,Gebietsnummer,Differenz Erststimme CSU,Differenz Zweitstimme CSU,Differenz Erststimme SPD,Differenz Zweitstimme SPD,Differenz Erststimme GRÜNE,Differenz Zweitstimme GRÜNE,Differenz Erststimme FDP,Differenz Zweitstimme FDP,Differenz Erststimme DIE LINKE,Differenz Zweitstimme DIE LINKE,Differenz Erststimme AfD,Differenz Zweitstimme AfD
0,3001,-12.29,-7.8230900000000005,-7.189999999999998,-8.03931,6.25,4.385020000000001,7.359999999999999,6.18456,2.9600000000000004,6.288460000000001,5.3,1.2482099999999998
1,3002,-9.599999999999998,-9.18038,-4.1299999999999955,-7.394079999999999,5.02,6.49812,4.93,6.86032,1.5600000000000005,4.423810000000001,3.92,-0.9152999999999993
2,3003,-4.260000000000002,-5.224740000000001,-12.549999999999997,-13.323679999999998,1.5999999999999979,0.9653100000000023,9.25,12.31116,2.5599999999999996,3.656410000000001,6.05,3.988989999999999
3,3004,-12.11,-10.40606,-9.829999999999998,-10.0,7.609999999999999,5.5090900000000005,7.1499999999999995,9.81515,5.8999999999999995,6.724239999999999,4.7,2.0121199999999995
4,3005,-13.09,-7.852800000000002,-3.669999999999998,-9.65342,4.880000000000001,4.873290000000001,4.35,6.438510000000001,2.63,4.40124,3.91,0.6689400000000001
5,3006,-10.749999999999996,-10.346909999999998,-5.66,-9.436929999999998,5.68,7.590489999999999,5.7299999999999995,9.183520000000001,4.719999999999999,5.418069999999999,3.98,0.6128400000000003
6,3007,-7.489999999999998,-6.060189999999999,-12.329999999999998,-15.78134,6.67,6.0836700000000015,6.4,9.01835,4.49,7.87481,4.81,1.0432300000000003
7,3008,-9.100000000000001,-10.079809999999998,-6.970000000000002,-9.438489999999998,3.4300000000000015,6.132490000000001,6.95,10.02019,4.039999999999999,4.583280000000001,2.68,-0.014509999999999579
8,3009,-11.940000000000001,-10.070479999999996,-8.459999999999997,-10.33493,6.66,6.156409999999999,7.630000000000001,9.319939999999999,4.699999999999999,6.17372,4.04,0.7822300000000002
9,3010,-5.800000000000001,-3.448909999999998,-4.75,-11.50326,4.15,6.310870000000001,6.18,5.4630399999999995,0.9900000000000002,4.78261,3.66,1.5195699999999994
10,3011,-12.64,-11.251340000000003,-2.4299999999999997,-5.81484,4.880000000000001,7.429079999999999,5.54,6.894359999999999,2.71,3.34718,5.22,1.2314499999999997
11,3012,-13.299999999999997,-10.683359999999997,-8.779999999999998,-9.28151,7.350000000000001,7.271650000000001,8.510000000000002,9.84715,3.8499999999999996,3.6174099999999996,3.54,-0.8693400000000002
12,3013,-17.369999999999997,-10.065979999999996,-4.039999999999999,-9.71036,8.839999999999998,7.78895,8.830000000000002,8.425559999999999,2.31,6.01727,4.84,0.57219
13,3014,-12.329999999999998,-9.84459,-4.389999999999997,-6.408110000000001,3.6900000000000013,4.93919,8.09,7.41892,3.21,3.7081099999999996,5.41,1.4878399999999994
14,3015,-10.629999999999999,-9.942470000000004,-6.289999999999999,-9.045210000000003,1.2400000000000002,4.7479499999999994,6.0600000000000005,8.10685,3.66,2.7767100000000013,6.52,2.4205500000000004
15,3016,-11.620000000000001,-6.158010000000001,-6.619999999999997,-10.398710000000001,4.669999999999998,5.992629999999998,6.04,5.9171299999999984,3.1499999999999995,3.7447500000000007,5.88,1.5140000000000002
16,3017,-11.800000000000004,-11.43431,-4.470000000000002,-4.534779999999998,3.2300000000000004,4.60201,7.82,10.246989999999998,2.6500000000000004,2.5826899999999995,6.19,2.24606
17,3018,-9.86,-7.986160000000002,-7.689999999999998,-11.02201,1.3699999999999992,3.227039999999999,7.460000000000001,7.81006,4.39,6.949689999999999,6.32,2.2043999999999997
18,3019,-6.850000000000001,-6.248080000000002,-9.579999999999998,-13.633799999999999,3.129999999999999,3.754360000000002,5.87,8.63101,2.1800000000000006,5.1561,6.61,2.6912899999999995
19,3020,-11.720000000000002,-6.588840000000001,-6.82,-9.513069999999999,4.890000000000001,1.5822299999999991,7.220000000000001,7.5716600000000005,4.550000000000001,7.522169999999999,6.05,1.8610900000000008
20,3021,-8.16,-8.270520000000005,-7.3700000000000045,-10.708640000000003,2.91,2.9491700000000023,5.6899999999999995,7.550060000000001,1.8599999999999994,7.108769999999999,5.1,3.2885600000000004
