,Gebietsnummer,CSU_erst,CSU_zweit,SPD_erst,SPD_zweit,GRÜNE_erst,GRÜNE_zweit,FDP_erst,FDP_zweit,DIE LINKE_erst,DIE LINKE_zweit,AfD_zweit,Diff_erst_CSU,Diff_zweit_CSU,Diff_erst_SPD,Diff_zweit_SPD,Diff_erst_GRÜNE,Diff_zweit_GRÜNE,Diff_erst_FDP,Diff_zweit_FDP,Diff_erst_DIE LINKE,Diff_zweit_DIE LINKE,Diff_erst_AfD,Diff_zweit_AfD,Stadtbezirk
0,3001,36.0,30.6,35.9,25.2,14.5,21.2,3.4,7.7,3.9,5.1,3.9,-12.29,-7.8230900000000005,-7.189999999999998,-8.03931,6.25,4.385020000000001,7.359999999999999,6.18456,2.9600000000000004,6.288460000000001,5.3,1.2482099999999998,Maxvorstadt
1,3002,37.9,34.0,33.3,23.7,13.7,17.6,6.1,10.6,4.1,5.1,5.1,-9.599999999999998,-9.18038,-4.1299999999999955,-7.394079999999999,5.02,6.49812,4.93,6.86032,1.5600000000000005,4.423810000000001,3.92,-0.9152999999999993,Maxvorstadt
2,3003,33.0,28.0,36.3,27.2,15.8,20.0,3.0,7.9,4.4,6.6,3.1,-4.260000000000002,-5.224740000000001,-12.549999999999997,-13.323679999999998,1.5999999999999979,0.9653100000000023,9.25,12.31116,2.5599999999999996,3.656410000000001,6.05,3.988989999999999,Maxvorstadt
3,3004,35.9,29.8,36.8,25.0,13.3,20.4,2.7,6.7,3.8,5.7,4.2,-12.11,-10.40606,-9.829999999999998,-10.0,7.609999999999999,5.5090900000000005,7.1499999999999995,9.81515,5.8999999999999995,6.724239999999999,4.7,2.0121199999999995,Maxvorstadt
4,3005,38.4,31.3,34.3,27.2,13.4,16.4,4.4,9.4,4.4,7.4,4.3,-13.09,-7.852800000000002,-3.669999999999998,-9.65342,4.880000000000001,4.873290000000001,4.35,6.438510000000001,2.63,4.40124,3.91,0.6689400000000001,Maxvorstadt
5,3006,38.3,31.9,34.0,23.7,12.0,18.4,4.3,9.2,3.4,5.2,4.3,-10.749999999999996,-10.346909999999998,-5.66,-9.436929999999998,5.68,7.590489999999999,5.7299999999999995,9.183520000000001,4.719999999999999,5.418069999999999,3.98,0.6128400000000003,Maxvorstadt
6,3007,32.8,26.9,39.5,31.8,12.9,17.4,4.0,8.4,3.9,5.5,4.4,-7.489999999999998,-6.060189999999999,-12.329999999999998,-15.78134,6.67,6.0836700000000015,6.4,9.01835,4.49,7.87481,4.81,1.0432300000000003,Maxvorstadt
7,3008,38.6,30.9,34.1,26.0,13.6,18.0,5.2,10.8,4.0,6.3,3.8,-9.100000000000001,-10.079809999999998,-6.970000000000002,-9.438489999999998,3.4300000000000015,6.132490000000001,6.95,10.02019,4.039999999999999,4.583280000000001,2.68,-0.014509999999999579,Maxvorstadt
8,3009,40.2,34.8,33.3,26.1,9.8,14.4,5.1,10.0,4.0,4.8,3.7,-11.940000000000001,-10.070479999999996,-8.459999999999997,-10.33493,6.66,6.156409999999999,7.630000000000001,9.319939999999999,4.699999999999999,6.17372,4.04,0.7822300000000002,Maxvorstadt
9,3010,36.6,29.4,34.6,27.4,12.4,15.7,4.4,12.2,4.3,5.0,3.1,-5.800000000000001,-3.448909999999998,-4.75,-11.50326,4.15,6.310870000000001,6.18,5.4630399999999995,0.9900000000000002,4.78261,3.66,1.5195699999999994,Maxvorstadt
10,3011,42.6,34.1,29.7,20.8,13.9,17.2,3.7,11.8,4.0,6.0,5.0,-12.64,-11.251340000000003,-2.4299999999999997,-5.81484,4.880000000000001,7.429079999999999,5.54,6.894359999999999,2.71,3.34718,5.22,1.2314499999999997,Maxvorstadt
11,3012,51.3,41.5,27.7,21.3,10.5,14.3,3.8,10.8,2.0,2.7,5.8,-13.299999999999997,-10.683359999999997,-8.779999999999998,-9.28151,7.350000000000001,7.271650000000001,8.510000000000002,9.84715,3.8499999999999996,3.6174099999999996,3.54,-0.8693400000000002,Maxvorstadt
