Gebietsnummer,CSU,SPD,GRÜNE,FDP,AfD,DIE LINKE
3001,23.71,28.71,20.75,10.76,5.3,6.86
3002,28.3,29.17,18.72,11.03,3.92,5.66
3003,28.74,23.75,17.4,12.25,6.05,6.96
3004,23.79,26.97,20.91,9.85,4.7,9.7
3005,25.31,30.63,18.28,8.75,3.91,7.03
3006,27.55,28.34,17.68,10.03,3.98,8.12
3007,25.31,27.17,19.57,10.4,4.81,8.39
3008,29.5,27.13,17.03,12.15,2.68,8.04
3009,28.26,24.84,16.46,12.73,4.04,8.7
3010,30.8,29.85,16.55,10.58,3.66,5.29
3011,29.96,27.27,18.78,9.24,5.22,6.71
3012,38.0,18.92,17.85,12.31,3.54,5.85
3013,28.03,25.26,20.24,12.63,4.84,5.71
3014,30.07,26.01,16.89,11.99,5.41,5.91
3015,30.87,24.01,14.24,10.46,6.52,8.06
3016,22.98,28.68,20.77,9.74,5.88,7.35
3017,27.4,26.63,17.03,10.22,6.19,8.05
3018,29.54,24.01,16.27,11.06,6.32,8.69
3019,32.35,25.22,14.43,9.57,6.61,6.78
3020,21.98,27.58,21.39,10.32,6.05,8.55
3021,30.74,28.83,15.31,8.29,5.1,6.76
3022,29.09,25.45,16.2,12.23,4.3,8.26
3023,31.23,24.23,14.15,12.46,6.44,5.74
4001,31.3,25.04,13.16,10.27,6.9,7.7
4002,27.44,29.46,11.45,9.43,8.08,8.75
4003,25.82,30.39,14.22,9.64,7.03,9.31
4004,27.96,29.8,12.44,7.07,10.14,8.14
4005,38.91,25.18854,10.55807,10.55807,7.84314,4.52489
4006,29.67,29.33333,13.0,9.33333,7.66667,6.5
4007,30.52,30.9816,15.03067,9.20245,6.44172,5.67485
4008,28.89,27.28732,15.40931,8.02568,7.38363,6.74157
4009,27.62,32.10884,14.82993,10.06803,5.30612,5.44218
4010,28.79,31.63121,13.47518,7.51773,7.80142,6.52482
4011,20.16,35.625,16.71875,8.75,5.46875,9.21875
4012,24.35,31.6129,16.93548,9.19355,4.67742,9.03226
4013,26.9,29.48328,14.13374,7.14286,6.99088,10.48632
4014,28.34,28.98089,12.73885,9.87261,8.75796,6.05096
4015,25.26,33.58098,10.84695,9.95542,8.76672,8.46954
4016,17.69,35.5064,24.33062,6.16997,4.19092,7.91618
4017,24.61,29.31242,19.9035,9.52955,5.66948,6.51387
4018,22.84,31.49254,17.31343,9.55224,4.92537,8.35821
4019,25.07,31.84282,16.39566,7.99458,5.42005,8.67209
4020,28.15,33.73174,17.66268,6.2417,4.11687,6.5073
4021,24.93,31.19658,17.94872,12.25071,3.9886,6.26781
4022,28.87,28.7218,17.44361,9.92481,5.86466,5.26316
4023,28.59,31.94888,13.57827,13.89776,3.35463,4.79233
4024,29.86,24.3662,18.4507,13.66197,4.64789,5.6338
4025,30.55,28.67435,15.12968,12.10375,4.61095,5.4755
4026,27.08,28.86335,18.64623,12.64368,3.7037,5.61941
4027,27.33,28.19767,18.89535,8.86628,5.23256,7.12209
4028,28.93,29.36858,18.94273,9.2511,3.23054,5.87372
4029,28.08,28.97474,16.04755,10.84695,6.53789,6.83507
4030,22.89,27.80338,20.43011,8.90937,5.68356,7.98771
10001,32.1,29.41176,8.7395,7.89916,10.2521,6.89076
10002,37.77,24.60658,11.1588,7.86838,10.01431,5.00715
10003,29.93,32.08054,11.27517,6.97987,10.4698,4.02685
10004,33.01,27.77778,6.20915,7.51634,13.72549,5.55556
10005,31.24,28.10164,6.72646,7.7728,13.75187,6.12855
10006,28.2,31.44246,8.10373,5.34846,12.15559,7.13128
10007,39.29,27.69726,9.17874,5.47504,8.37359,4.34783
10008,28.96,30.05464,9.47177,8.01457,9.65392,8.01457
10009,37.24,26.93935,8.74471,7.47532,7.47532,6.34697
10010,36.16,26.09272,10.46358,6.75497,8.47682,4.23841
10011,31.35,28.36879,10.49645,8.36879,9.78723,5.95745
10012,34.47,26.47929,11.68639,8.13609,7.39645,4.88166
10013,38.84,27.9661,8.33333,7.34463,7.9096,5.22599
10014,30.72,29.39439,5.90842,9.60118,12.40768,5.31758
10015,31.16,27.75194,9.6124,6.97674,11.47287,7.13178
10016,34.3,30.4878,7.16463,5.4878,11.28049,5.64024
10017,32.21,25.15337,9.35583,9.66258,10.27607,6.90184
10018,31.64,26.88525,7.21311,8.52459,11.47541,10.32787
10019,27.97,29.61609,13.89397,6.58135,10.05484,6.58135
10020,19.31,31.26023,20.7856,7.69231,6.87398,7.52864
10021,25.35,28.84615,7.51748,8.21678,16.43357,8.39161
11001,29.16,33.28592,5.54765,5.26316,12.09104,8.53485
11002,24.69,37.42331,8.89571,7.51534,9.35583,5.82822
11003,31.98,30.74205,3.88693,3.53357,15.72438,8.48057
11004,28.52,31.71141,7.21477,5.87248,12.41611,7.55034
11005,32.51,32.68551,4.947,2.82686,15.90106,5.12367
11006,25.93,30.90586,6.03908,4.61812,17.93961,8.70337
