,Gebietsnummer,Einwohner_inneninsgesamt,Einwohner_innen Deutsche,Einwohner_innen EU-Auslaender/innen,Einwohner_innen Nicht EU-Auslaender/innen,Einwohner_innen Migrationshintergrund,Einwohner_innen Familienstand ledig,Einwohner_innen Familienstand verheiratet,Wahlberechtigte Deutsche,Wahlberechtigte EU-Auslaender_innen,Wahlberechtigte Alter 18 - 24 Jahre,Wahlberechtigte Alter 25 - 34 Jahre,Wahlberechtigte Alter 35 - 44 Jahre,Wahlberechtigte Alter 45 - 59 Jahre,Wahlberechtigte Alter 60 Jahre und aelter,Einpersonenhaushalte,Haushalte mit Kindern,Wohndauer in Muenchen,SV-Beschäftigtendichte,Arbeitslosendichte,ALG II - Empfängerdichte
35,3001,2072,86.2,9.3,4.4,23.8,60.9,27.8,89.4,10.6,9.6,31.9,19.6,18.7,20.1,66.1,9.8,17.9,"53,8",2.8,2.7
36,3002,2012,84.2,10.8,5.0,26.7,58.7,31.3,87.8,12.2,7.5,26.0,20.6,22.1,23.8,64.1,13.1,18.5,"53,8",2.8,2.7
37,3003,2138,76.7,14.9,8.4,33.1,66.0,24.4,83.1,16.9,9.0,40.9,17.9,16.4,15.9,69.2,8.1,14.0,"53,8",2.8,2.7
38,3004,2007,76.8,14.6,8.5,32.9,68.1,22.1,83.4,16.6,9.5,39.8,18.1,17.2,15.4,72.8,7.9,14.8,"53,8",2.8,2.7
39,3005,2139,77.1,14.1,8.8,33.6,68.0,22.2,83.7,16.3,12.0,37.4,15.7,18.2,16.7,71.8,8.2,14.9,"53,8",2.8,2.7
40,3006,2017,74.5,16.2,9.4,35.2,69.4,22.3,81.5,18.5,15.9,38.7,15.4,16.2,13.8,73.5,6.5,13.8,"53,8",2.8,2.7
41,3007,2000,84.1,11.5,4.4,26.2,61.2,28.3,86.8,13.2,9.2,27.8,18.3,21.4,23.2,63.9,10.3,18.7,"53,8",2.8,2.7
42,3008,1835,75.9,15.5,8.6,34.6,69.0,17.7,82.7,17.3,15.1,35.4,15.1,13.9,20.5,73.2,6.4,14.5,"53,8",2.8,2.7
43,3009,1782,81.5,12.6,5.9,28.8,63.6,25.3,85.7,14.3,11.3,31.7,17.3,19.8,19.8,70.7,9.7,16.7,"53,8",2.8,2.7
44,3010,2083,75.1,15.8,9.1,34.9,65.1,24.5,82.1,17.9,12.4,34.1,17.1,17.6,18.9,72.9,8.6,14.9,"53,8",2.8,2.7
45,3011,2114,77.1,14.0,9.0,32.3,64.9,25.7,83.5,16.5,10.8,32.7,15.7,19.5,21.3,69.2,10.2,15.4,"53,8",2.8,2.7
46,3012,1998,81.4,13.0,5.6,30.3,67.1,23.6,85.1,14.9,13.0,31.0,17.9,18.1,20.1,71.6,9.6,16.0,"53,8",2.8,2.7
47,3013,1929,81.0,12.0,6.9,29.1,65.5,24.4,87.1,12.9,9.2,35.5,19.3,18.4,17.6,70.9,8.1,14.7,"53,8",2.8,2.7
48,3014,2211,72.1,14.2,13.7,38.5,67.1,23.5,83.0,17.0,16.1,32.7,17.7,17.1,16.4,67.1,10.4,13.9,"53,8",2.8,2.7
