"Gebietsnummer";"Wahlbeteiligung 2013";"Karte 2"
03001;78.2;"Mittelbereich 23,63 - 40,98%"
03002;82.7;"Mittelbereich 23,63 - 40,98%"
03003;80;"Mittelbereich 23,63 - 40,98%"
03004;77.5;"Mittelbereich 23,63 - 40,98%"
03005;77.8;"Mittelbereich 23,63 - 40,98%"
03006;78;"Mittelbereich 23,63 - 40,98%"
03007;77.2;"Mittelbereich 23,63 - 40,98%"
03008;78.6;"Mittelbereich 23,63 - 40,98%"
03009;79.4;"Mittelbereich 23,63 - 40,98%"
03010;78.7;"Mittelbereich 23,63 - 40,98%"
03011;76.6;"Mittelbereich 23,63 - 40,98%"
03012;79.5;"Mittelbereich 23,63 - 40,98%"
03013;76;"Mittelbereich 23,63 - 40,98%"
03014;77.8;"Mittelbereich 23,63 - 40,98%"
03015;72.1;"Mittelbereich 23,63 - 40,98%"
03016;75.7;"Kellerbezirk 14,51 - 23,62%"
03017;79.3;"Mittelbereich 23,63 - 40,98%"
03018;76.1;"Mittelbereich 23,63 - 40,98%"
03019;75.6;"Mittelbereich 23,63 - 40,98%"
03020;77.7;"Kellerbezirk 14,51 - 23,62%"
03021;76.6;"Mittelbereich 23,63 - 40,98%"
03022;73.6;"Mittelbereich 23,63 - 40,98%"
03023;75.7;"Mittelbereich 23,63 - 40,98%"
04001;73;"Mittelbereich 23,63 - 40,98%"
04002;73.5;"Mittelbereich 23,63 - 40,98%"
04003;76.7;"Mittelbereich 23,63 - 40,98%"
04004;68;"Mittelbereich 23,63 - 40,98%"
04005;68.4;"Mittelbereich 23,63 - 40,98%"
04006;73.2;"Mittelbereich 23,63 - 40,98%"
04007;78.5;"Mittelbereich 23,63 - 40,98%"
04008;72.9;"Mittelbereich 23,63 - 40,98%"
04009;81.2;"Mittelbereich 23,63 - 40,98%"
04010;78.5;"Mittelbereich 23,63 - 40,98%"
04011;78.4;"Kellerbezirk 14,51 - 23,62%"
04012;79.1;"Mittelbereich 23,63 - 40,98%"
04013;71.6;"Mittelbereich 23,63 - 40,98%"
04014;75;"Mittelbereich 23,63 - 40,98%"
04015;77;"Mittelbereich 23,63 - 40,98%"
04016;80.2;"Kellerbezirk 14,51 - 23,62%"
04017;79.4;"Mittelbereich 23,63 - 40,98%"
04018;78.6;"Kellerbezirk 14,51 - 23,62%"
04019;76.9;"Mittelbereich 23,63 - 40,98%"
04020;77.4;"Mittelbereich 23,63 - 40,98%"
04021;79.4;"Mittelbereich 23,63 - 40,98%"
04022;80.1;"Mittelbereich 23,63 - 40,98%"
04023;81.6;"Mittelbereich 23,63 - 40,98%"
04024;80.1;"Mittelbereich 23,63 - 40,98%"
04025;80.8;"Mittelbereich 23,63 - 40,98%"
