"Gebietsnummer";"Wohndauer";"Wahlbeteiligung"
03001;18.1;84.1
03002;18.7;88.3
03003;13.3;87.3
03004;15.1;85.9
03005;15.7;86.8
03006;14.2;82.2
03007;19;86.4
03008;15.5;83.8
03009;16.9;86.4
03010;14.6;85.1
03011;15.5;83.7
03012;13.9;87.8
03013;14.8;80.6
03014;13.5;84.7
03015;13.3;81.4
03016;12.7;82.3
03017;13.9;85.2
03018;12;83.2
03019;15;81.1
03020;12;85.9
03021;18;84.6
03022;10.4;81.2
03023;13.3;80.4
04001;17.5;80.6
04002;17;79.5
04003;19;82
04004;17.9;77.8
04005;18.2;72.9
04006;17.8;77.4
04007;19.6;86.8
04008;19.2;81.7
04009;20.1;85.7
04010;19.4;87.9
04011;21.7;83.8
04012;16;86.1
04013;17.9;77.7
04014;23.6;79.3
04015;23.1;82.7
04016;18.6;86.1
04017;12.4;85.4
04018;18.1;85.5
04019;15.8;83.9
04020;17.8;85.6
04021;18.7;87.6
04022;17.2;85.4
04023;17.4;84.9
04024;16.5;87.4
04025;18.6;86.9
04026;18.4;86.2
04027;16.4;86.5
04028;15.4;86.2
04029;17.8;85.1
04030;16.7;85.1
10001;20.4;79.1
10002;21.6;81.5
10003;24.9;85.6
10004;20.7;73.6
10005;22.9;75.5
10006;18.2;67.8
10007;23.1;77.6
10008;19.2;74.5
10009;25.2;79
10010;19.5;81.6
10011;18.9;79.6
10012;18.3;80.8
10013;22.5;82.9
10014;23.5;78.4
10015;19.1;68.5
10016;21;75.6
10017;20.1;78.3
10018;18.5;71.6
10019;19.8;73.9
10020;19.4;83.4
10021;21.7;57.7
11001;20.9;67.1
11002;14.9;64.3
11003;22.1;53.6
11004;21.2;65.7
11005;22.8;64.3
11006;16.5;56.1
11007;22.3;71.8
11008;18.7;69.7
11009;22.1;62.7
11010;24.3;65.6
11011;18.1;74.2
11012;20.5;67.7
11013;14.6;74.4
11014;21.8;82.4
11015;19.8;76.3
11016;15;72.2
11017;17;75.9
11018;18.3;70.4
11019;15.2;73.5
11020;18.6;73.1
11021;14.2;67.3
11022;13.3;68.9
11023;20.4;85.5
11024;17.5;79.3
11025;11.1;85.3
12001;22.4;75.3
12002;22.3;80.8
12003;19.5;63.7
12004;23.6;74.4
12005;17.6;81.8
12006;26.2;63.4
12007;16.5;78.6
12008;17.4;84.5
12009;16.5;79.5
12010;12.7;68.6
12011;9.7;84.3
12012;12.2;73.7
12013;14.7;78.2
12014;8.8;81.4
12015;18.7;79.7
12016;13.1;77.4
12017;19.4;87.3
12018;19.9;82.8
12019;17.4;84.4
12020;21.9;86
12021;17;86.3
12022;16.7;83.2
12023;15.6;84.8
12024;16.5;86.9
12025;21.6;87.4
12026;16.7;83.2
12027;18.4;84
12028;17.3;85.8
12029;17.2;84.8
12030;18.5;79.4
12031;20.8;78.6
24001;16.3;65.6
24002;21.6;78.9
24003;22.1;84
24004;21.4;80.1
24005;23.1;87.8
24006;19.9;87
24007;24;77.2
24008;22.8;71.8
24009;25.5;71.5
24010;23.3;66.6
24011;20.7;54.5
24012;21.4;45.4
24013;21.9;53.7
24014;20.7;60.3
24015;24.5;69.4
24016;25.3;74.6
24017;25.5;72.7
24018;22.8;74.8
24019;20.4;83.1
24020;23.1;83.2
24021;22;83.7
24022;25.8;80.1
